Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date,Like
2023-12-30,Reptile,2023,https://boxd.it/5r0cXx,2.0,,,2023-12-29,False
2023-12-30,The Killer,2023,https://boxd.it/5r21fN,3.5,,,2023-12-29,True
2023-12-30,Moonrise Kingdom,2012,https://boxd.it/5r6Bxr,4.0,,,2023-12-29,True
2023-12-31,Barbie,2023,https://boxd.it/5rJfHR,4.5,,,2023-12-30,True
2024-01-02,The Secret Life of Walter Mitty,2013,https://boxd.it/5sLUJ3,3.5,,,2024-01-01,True
2024-01-02,Fantastic Mr. Fox,2009,https://boxd.it/5sTJLN,5.0,,,2024-01-01,True
2024-01-03,Dunkirk,2017,https://boxd.it/5toy67,4.0,,,2024-01-02,True
2024-01-03,Oppenheimer,2023,https://boxd.it/5tEH7F,5.0,,,2024-01-02,True
2024-01-04,Top Gun,1986,https://boxd.it/5u8R4B,3.0,,,2024-01-03,False
2024-01-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/5uHUNp,5.0,,,2024-01-04,True
2024-01-05,La La Land,2016,https://boxd.it/5uR49d,5.0,,,2024-01-05,True
2024-01-06,Society of the Snow,2023,https://boxd.it/5vlEoj,4.5,,,2024-01-05,True
2024-01-06,Manchester by the Sea,2016,https://boxd.it/5vu0xD,5.0,,,2024-01-06,True
2024-01-10,Sully,2016,https://boxd.it/5yarEt,3.5,,,2024-01-09,False
2024-01-30,Cloverfield,2008,https://boxd.it/5IxjQR,4.0,,,2024-01-29,True
2024-01-31,(500) Days of Summer,2009,https://boxd.it/5J3M1H,4.0,,,2024-01-30,True
2024-02-01,Kimi,2022,https://boxd.it/5Jwi4T,2.5,,,2024-01-31,False
2024-02-19,Rushmore,1998,https://boxd.it/5RZ2g5,3.5,,,2024-02-10,True
2024-02-11,Bloodsport,1988,https://boxd.it/5NYBw5,2.5,,,2024-02-11,False
2024-02-18,Before Sunrise,1995,https://boxd.it/5R9u9x,3.5,,,2024-02-18,False
2024-02-19,School of Rock,2003,https://boxd.it/5RARuR,4.5,,,2024-02-18,True
2024-02-19,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/5RIKG3,4.0,,,2024-02-18,False
2024-02-28,The Darjeeling Limited,2007,https://boxd.it/5VQzyz,4.0,,,2024-02-27,True
2024-02-29,Fargo,1996,https://boxd.it/5WggKt,4.0,,,2024-02-28,True
2024-03-01,Black Swan,2010,https://boxd.it/5WA7Mv,5.0,,,2024-02-29,True
2024-03-01,Lady Bird,2017,https://boxd.it/5WF2jX,3.5,,,2024-02-29,False
2024-03-02,Before Sunset,2004,https://boxd.it/5X53it,3.5,,,2024-03-01,False
2024-03-06,Poor Things,2023,https://boxd.it/5Z7oht,4.5,,,2024-03-05,True
2024-03-07,Dead Poets Society,1989,https://boxd.it/5ZC9hb,5.0,Yes,,2024-03-07,True
2024-03-09,Bottoms,2023,https://boxd.it/60rdOb,4.0,,,2024-03-08,True
2024-03-09,The Godfather,1972,https://boxd.it/60reqz,5.0,,,2024-03-08,True
2024-03-10,The Perks of Being a Wallflower,2012,https://boxd.it/60XRyV,3.5,,,2024-03-09,False
2024-03-11,Irreversible,2002,https://boxd.it/61miqR,2.5,,,2024-03-10,False
2024-03-11,Midnight in Paris,2011,https://boxd.it/61s8sZ,4.0,Yes,,2024-03-10,True
2024-03-12,Anatomy of a Fall,2023,https://boxd.it/61ZOAn,5.0,,,2024-03-11,True
2024-03-12,Easy A,2010,https://boxd.it/6236vr,3.0,,,2024-03-11,False
2024-03-13,American Fiction,2023,https://boxd.it/62u3zp,3.5,,,2024-03-12,False
2024-03-14,Scott Pilgrim vs. the World,2010,https://boxd.it/62TP1Z,4.0,,,2024-03-13,True
2024-03-15,The French Dispatch,2021,https://boxd.it/63dVM3,3.0,,,2024-03-14,False
2024-03-15,Little Women,2019,https://boxd.it/63ixBF,4.0,,,2024-03-14,True
2024-03-16,Good Will Hunting,1997,https://boxd.it/63DBEb,4.5,,,2024-03-15,True
2024-03-16,Dune,2021,https://boxd.it/63Jip9,4.5,Yes,,2024-03-15,True
2024-03-17,The Holdovers,2023,https://boxd.it/643DM9,4.5,,,2024-03-16,False
2024-03-17,Wonka,2023,https://boxd.it/64fHsV,2.0,,,2024-03-16,True
2024-03-18,Get Out,2017,https://boxd.it/64ylBJ,4.5,,,2024-03-17,True
2024-03-18,Oldboy,2003,https://boxd.it/64J6gj,4.5,,,2024-03-17,False
2024-03-18,No Country for Old Men,2007,https://boxd.it/64PYEr,3.0,,,2024-03-18,False
2024-03-20,Patch Adams,1998,https://boxd.it/65JD1P,3.5,,,2024-03-20,True
2024-03-21,The Cabin in the Woods,2011,https://boxd.it/66iTqV,3.5,,,2024-03-21,True
2024-03-22,Moonlight,2016,https://boxd.it/66sxvJ,4.5,,,2024-03-21,True
2024-03-22,Little Miss Sunshine,2006,https://boxd.it/66wd5z,5.0,,,2024-03-21,True
2024-03-23,Hereditary,2018,https://boxd.it/66TILd,5.0,,,2024-03-22,True
2024-03-24,Scary Movie,2000,https://boxd.it/67d26R,3.0,Yes,,2024-03-23,False
2024-03-24,"tick, tick... BOOM!",2021,https://boxd.it/67nHNH,3.5,,,2024-03-23,True
2024-03-24,The Father,2020,https://boxd.it/67rfEZ,5.0,,,2024-03-24,True
2024-03-25,Inglourious Basterds,2009,https://boxd.it/67ZOT9,5.0,,,2024-03-24,False
2024-03-26,The Dark Tower,2017,https://boxd.it/68qxzb,1.5,,,2024-03-25,True
2024-03-26,Mean Girls,2004,https://boxd.it/68vy3Z,4.5,,,2024-03-26,False
2024-03-27,Road House,2024,https://boxd.it/68IEZh,2.0,,,2024-03-26,True
