Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-04-05,April 2024,,https://boxd.it/uzEva,

Position,Name,Year,URL,Description
1,The Shawshank Redemption,1994,https://boxd.it/2aHi,"Vaya locura de pelicula.
Brooks te amo"
2,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,"Empecé a verla y tuve que parar porque me estaba sobando (XD). 
Pero cuando la retomé puro cine"
3,Citizen Kane,1941,https://boxd.it/71O,"No es normal lo bien que está hecha la pelicula, ninguna escena es mala, es increible"
4,Sound of Metal,2019,https://boxd.it/i7Q4,El sonido de esta peli es sencillamente perfecto 🤌
5,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,"La tengo que ver otra vez, que no se porque ese dia tenia tanto sueño y no la podia ver del tirón. 
Pero autentica pasada de pelicula"
6,The Hunt,2012,https://boxd.it/3wEC,Odio eterno a los niños. No te puede tocar mas la polla esta peli
7,Past Lives,2023,https://boxd.it/oNB8,Pobre chaval vaya jodida barbara
8,The Nice Guys,2016,https://boxd.it/94Hg,Comedia fina 🚬
9,Eyes Wide Shut,1999,https://boxd.it/2axs,Esto es un biopic de como Tom Cruise entró en la cienciologia?
10,Night of the Living Dead,1968,https://boxd.it/1WwA,"Que personajes más bien hechos.
Visualmente no ha envejecido demasiado pero sigue siendo mejor que sharknado"
11,"20,000 Species of Bees",2023,https://boxd.it/DRPy,Empezé a verla sabiendo 0 de que iba la peli y me sorprendio para bien lo bonita que es la peli
12,Evil Dead Rise,2023,https://boxd.it/qIvo,"La ví esperando más bien poco, no soy muy fan de este género pero muy entretenida, en lo visual y en lo sonoro està de lujo"
13,Nobody,2021,https://boxd.it/mLqS,"Esta bien. Las escenas de acción son buenas, muy linial la peli y nada que no se haya visto antes."
14,Maestro,2023,https://boxd.it/j0DE,"Demasiado aburrida pero con trozos de la peli que me parecen muy buenos.
No me dice nada.
Lo unico bueno la banda sonora (ya me joderia que fuese mala)"
15,Cocaine Bear,2023,https://boxd.it/ugw2,Me tenia que ir a dormir pronto y me la puse pensando que sería graciosa y divertida. Como puede ser que una pelicula sobre un oso que se mete cocaina y mata a gente puede ser tan aburrida
