Date,Name,Year,Letterboxd URI
2023-12-30,The Killer,2023,https://boxd.it/u6WE
2023-12-31,Barbie,2023,https://boxd.it/bCLK
2024-01-02,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy
2024-01-02,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2024-01-03,Dunkirk,2017,https://boxd.it/d0Y6
2024-01-03,Oppenheimer,2023,https://boxd.it/wUow
2024-01-05,La La Land,2016,https://boxd.it/a5fa
2024-01-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4
2024-01-06,Society of the Snow,2023,https://boxd.it/y9aw
2024-01-06,Manchester by the Sea,2016,https://boxd.it/b2L0
2024-01-30,Cloverfield,2008,https://boxd.it/2192
2024-02-02,Moonrise Kingdom,2012,https://boxd.it/2Wng
2024-02-08,Rushmore,1998,https://boxd.it/1TAO
2024-02-19,School of Rock,2003,https://boxd.it/28xK
2024-02-28,The Darjeeling Limited,2007,https://boxd.it/24as
2024-03-01,Black Swan,2010,https://boxd.it/Sw0
2024-03-06,Poor Things,2023,https://boxd.it/tNWU
2024-03-06,Fargo,1996,https://boxd.it/2aHM
2024-03-07,Dead Poets Society,1989,https://boxd.it/2aSg
2024-03-09,Bottoms,2023,https://boxd.it/uGf2
2024-03-09,The Godfather,1972,https://boxd.it/2aNK
2024-03-11,Midnight in Paris,2011,https://boxd.it/i4a
2024-03-12,Anatomy of a Fall,2023,https://boxd.it/yuDE
2024-03-14,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6
2024-03-15,Little Women,2019,https://boxd.it/aSVk
2024-03-16,Good Will Hunting,1997,https://boxd.it/2ahY
2024-03-16,Dune,2021,https://boxd.it/fA7G
2024-03-17,The Holdovers,2023,https://boxd.it/vHza
2024-03-18,Get Out,2017,https://boxd.it/eOCm
2024-03-18,Oldboy,2003,https://boxd.it/29R2
2024-03-21,The Cabin in the Woods,2011,https://boxd.it/1zOc
2024-03-22,Moonlight,2016,https://boxd.it/d6bE
2024-03-22,Little Miss Sunshine,2006,https://boxd.it/29EW
2024-03-23,Hereditary,2018,https://boxd.it/hNVe
2024-03-24,The Father,2020,https://boxd.it/m8Ie
2024-03-25,Inglourious Basterds,2009,https://boxd.it/1JzG
2024-03-26,Mean Girls,2004,https://boxd.it/1VNg
2024-03-27,Cinema Paradiso,1988,https://boxd.it/1UlA
2024-03-28,The Royal Tenenbaums,2001,https://boxd.it/1YHU
