Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-09-16,españita,,https://boxd.it/yNwGI,

Position,Name,Year,URL,Description
1,Society of the Snow,2023,https://boxd.it/y9aw,
2,"20,000 Species of Bees",2023,https://boxd.it/DRPy,
3,Bomb Scared,2017,https://boxd.it/gmdC,
4,[REC],2007,https://boxd.it/20ma,
5,[REC]²,2009,https://boxd.it/1VH8,
6,[REC]³ Genesis,2012,https://boxd.it/2N90,
7,Robot Dreams,2023,https://boxd.it/vBZm,
8,Pan's Labyrinth,2006,https://boxd.it/28No,
9,The Beasts,2022,https://boxd.it/w1L6,
10,The World is Ours,2012,https://boxd.it/3R3i,
11,The Day of the Beast,1995,https://boxd.it/1Vyg,
12,Sleep Tight,2011,https://boxd.it/2GjC,
13,Thesis,1996,https://boxd.it/1Z1U,
14,The Vault,2021,https://boxd.it/nleI,
15,[REC]⁴ Apocalypse,2014,https://boxd.it/5CE8,
16,Timecrimes,2007,https://boxd.it/1OGM,
17,All About My Mother,1999,https://boxd.it/2b9c,
18,Cria!,1976,https://boxd.it/AoC,
19,Pellet,2000,https://boxd.it/1flY,
20,Soccer Days,2003,https://boxd.it/uX2,
21,"Torrente, the Dumb Arm of the Law",1998,https://boxd.it/28Wg,
22,Torrente 2: Mission in Marbella,2001,https://boxd.it/28W6,
23,Torrente 3: The Protector,2005,https://boxd.it/28VW,
24,Torrente 4: Lethal crisis,2011,https://boxd.it/iPg,
25,Torrente 5,2014,https://boxd.it/7uSK,
26,The Platform,2019,https://boxd.it/mUm6,
27,The Platform 2,2024,https://boxd.it/Gz88,
28,Buried,2010,https://boxd.it/1tXC,
29,Women on the Verge of a Nervous Breakdown,1988,https://boxd.it/24GI,
30,Politically Incorrect,2024,https://boxd.it/HywK,
31,Under Therapy,2023,https://boxd.it/C6rW,
