Date,Name,Year,Letterboxd URI,Rating
2023-12-30,Moonrise Kingdom,2012,https://boxd.it/2Wng,4
2024-01-02,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,5
2024-01-03,Dunkirk,2017,https://boxd.it/d0Y6,4
2024-01-03,Barbie,2023,https://boxd.it/bCLK,4.5
2024-01-03,Oppenheimer,2023,https://boxd.it/wUow,5
2024-01-04,Top Gun,1986,https://boxd.it/29JC,3
2024-01-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,5
2024-01-05,The Secret Life of Walter Mitty,2013,https://boxd.it/3SWy,3.5
2024-01-06,Society of the Snow,2023,https://boxd.it/y9aw,4.5
2024-01-31,(500) Days of Summer,2009,https://boxd.it/1EmM,4
2024-01-31,Reptile,2023,https://boxd.it/wKjc,2
2024-02-01,Kimi,2022,https://boxd.it/u7LW,2.5
2024-02-01,Manchester by the Sea,2016,https://boxd.it/b2L0,5
2024-02-11,Bloodsport,1988,https://boxd.it/1Tee,2.5
2024-02-18,Before Sunrise,1995,https://boxd.it/2bcU,3.5
2024-02-19,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4
2024-02-19,School of Rock,2003,https://boxd.it/28xK,4.5
2024-02-28,The Darjeeling Limited,2007,https://boxd.it/24as,4
2024-03-01,Black Swan,2010,https://boxd.it/Sw0,5
2024-03-02,Before Sunset,2004,https://boxd.it/2bcg,3.5
2024-03-06,Fargo,1996,https://boxd.it/2aHM,4
2024-03-07,Dead Poets Society,1989,https://boxd.it/2aSg,5
2024-03-09,Bottoms,2023,https://boxd.it/uGf2,4
2024-03-09,The Godfather,1972,https://boxd.it/2aNK,5
2024-03-10,The Perks of Being a Wallflower,2012,https://boxd.it/2ZA8,3.5
2024-03-11,Irreversible,2002,https://boxd.it/29as,2.5
2024-03-11,Midnight in Paris,2011,https://boxd.it/i4a,4
2024-03-11,Poor Things,2023,https://boxd.it/tNWU,4.5
2024-03-12,Anatomy of a Fall,2023,https://boxd.it/yuDE,5
2024-03-12,Easy A,2010,https://boxd.it/17DK,3
2024-03-14,Scott Pilgrim vs. the World,2010,https://boxd.it/1Aq6,4
2024-03-15,The French Dispatch,2021,https://boxd.it/jLP8,3
2024-03-15,Little Women,2019,https://boxd.it/aSVk,4
2024-03-16,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-03-16,Lady Bird,2017,https://boxd.it/dGNE,3.5
2024-03-16,Dune,2021,https://boxd.it/fA7G,4.5
2024-03-17,The Holdovers,2023,https://boxd.it/vHza,4.5
2024-03-17,Wonka,2023,https://boxd.it/tCQm,2
2024-03-18,Get Out,2017,https://boxd.it/eOCm,4.5
2024-03-18,Oldboy,2003,https://boxd.it/29R2,4.5
2024-03-18,No Country for Old Men,2007,https://boxd.it/21ew,3
2024-03-20,Patch Adams,1998,https://boxd.it/1Wzk,3.5
2024-03-21,The Cabin in the Woods,2011,https://boxd.it/1zOc,3.5
2024-03-22,Little Miss Sunshine,2006,https://boxd.it/29EW,5
2024-03-23,Hereditary,2018,https://boxd.it/hNVe,5
2024-03-24,Scary Movie,2000,https://boxd.it/24CG,3
2024-03-24,"tick, tick... BOOM!",2021,https://boxd.it/jz2e,3.5
2024-03-24,The Father,2020,https://boxd.it/m8Ie,5
2024-03-25,Inglourious Basterds,2009,https://boxd.it/1JzG,5
2024-03-26,Mean Girls,2004,https://boxd.it/1VNg,4.5
2024-03-27,Road House,2024,https://boxd.it/cdzQ,2
2024-03-27,Cinema Paradiso,1988,https://boxd.it/1UlA,5
2024-03-28,The Royal Tenenbaums,2001,https://boxd.it/1YHU,5
2024-03-28,Whiplash,2014,https://boxd.it/7bQA,5
2024-03-29,Madame Web,2024,https://boxd.it/nwD0,0.5
2024-03-29,Carrie,1976,https://boxd.it/20ZQ,3.5
2024-03-31,La Haine,1995,https://boxd.it/2as8,5
2024-04-01,The Prestige,2006,https://boxd.it/293w,5
2024-04-02,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2024-04-02,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2024-04-02,Moonlight,2016,https://boxd.it/d6bE,4.5
2024-04-02,Morbius,2022,https://boxd.it/j978,1
2024-04-03,The Hunt,2012,https://boxd.it/3wEC,4.5
2024-04-03,The Dark Tower,2017,https://boxd.it/bU66,1.5
2024-04-03,American Fiction,2023,https://boxd.it/DYHm,3.5
2024-04-03,Sully,2016,https://boxd.it/cD8Q,3.5
2024-04-03,The Killer,2023,https://boxd.it/u6WE,3.5
2024-04-03,La La Land,2016,https://boxd.it/a5fa,5
2024-04-04,The Nice Guys,2016,https://boxd.it/94Hg,4
2024-04-04,Past Lives,2023,https://boxd.it/oNB8,4.5
2024-04-05,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,4.5
2024-04-05,Rushmore,1998,https://boxd.it/1TAO,4
